,smiles,mp
159280,NCCn1c(-c2ccc(Br)cc2)cs/c1=N\c1ccccc1,59.5
15952,CCOC(=O)NCc1cc(-c2ccccc2)no1,82.0
149611,CS(=O)(=O)C(=C1CN(C(c2ccccc2)c2ccccc2)C1)c1ccc2ccccc2c1,178.0
169546,CCC(CC)n1nc(-c2ccc(O)cc2O)c2cccc(C(F)(F)F)c21,121.5
82306,O=C1OC(CCCCN2CCN(c3ccccn3)CC2)CN1c1ccccc1,79.5
117777,CCCCN(C(=O)CCCCC(=O)N(CCCC)C1CC(C)(C)NC(C)(C)C1)C1CC(C)(C)NC(C)(C)C1,139.0
100619,CCCn1c(=O)c2[nH]c(/C=C/c3ccc(OC)cc3OC)nc2n(CCC)c1=O,273.4
112789,CC(C1CCC(Oc2ccc(F)cc2)C1)N(O)C(N)=O,111.75
42744,CC(C)c1ccc2nc3ccc(C(=O)OCCCCc4cccnc4)cn3c(=O)c2c1,95.5
78433,CNC(=O)CC1=CSC2=C(C(=O)OC(C)C)C(C)CN12,204.0
17750,CCOC(=O)c1nc2scc(C)n2c1C,141.5
75552,CC1SC(=O)NN=C1c1ccc2c(c1)/C(=N/Nc1ccc(C(C)(C)C)cc1)C(=O)N2,299.0
82104,CC(C)(C)OC(=O)[C@@H]1CCCN1CC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,98.5
12302,COc1ccccc1N(CN1C(=O)CN(C)C1=O)C(C)=O,170.5
129107,N#Cc1ccc(OCc2ccc3c(c2)OCO3)cc1F,139.5
193452,O=C1N/C(=N\Cc2ccccc2)C(c2ccc(Br)cc2)N1c1ccc2[nH]cnc2c1,244.0
117822,COC1(c2cncnc2SC)c2ccccc2CC1(C)C,131.0
212471,CCOC(=O)C(Cc1ccc(OCCN2CCC(C)(C)c3cc(C(=O)c4ccccc4)ccc32)cc1)OCC(F)(F)F,57.0
161066,CCCC1=C(C(=O)OCC)C(c2ccccc2OC2CCCC2)c2c[nH]nc2N1,195.0
18806,COc1nnc2n1C=Cc1ccccc1C2,160.5
195079,COc1ccc([C@@H]2Sc3cc(C(=O)OC(C)C)ccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,191.5
23141,CCc1nnc(/C=C/c2ncc([N+](=O)[O-])n2C)s1,165.0
50335,CCCc1c(Oc2ccc(C(=O)O)cc2C(=O)O)ccc(C(C)=O)c1O,281.5
153336,COCCCN1CC[C@@H](CNC(=O)c2cc(Cl)c(N)c3c2OC(C)(C)C3)[C@H](O)C1,97.0
6924,NN1NC=C(c2ncc([N+](=O)[O-])n2Cc2ccccc2)O1,262.0
193964,CN1CCN(c2ccc(Nc3ncc4cc5ccccc5n4n3)cc2)CC1,219.5
210552,CN(C)C(=O)Cc1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,172.5
210681,Cc1cc(-c2nc3cccnn3c2-c2ccnc(N)c2)ccc1F,179.5
196809,CC1(C)C(=O)N(c2ccc(N)c(C(F)(F)F)c2)C(=O)N1CCCCCN1C(=O)N(c2ccc(N)c(C(F)(F)F)c2)C(=O)C1(C)C,108.5
80457,O=C(CCC1C2CC3CC(C2)CC1C3)N1C(=O)OC[C@@H]1Cc1ccccc1,82.5
3455,Clc1nc(N2CCOCC2)c2ccccc2n1,104.0
115798,COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,203.5
218787,OC[C@H]1O[C@@H](n2cnc3c(NCc4ccc5ccc6cccc7ccc4c5c67)ncnc32)[C@H](O)[C@@H]1O,144.15
41465,N#CC1CCCc2cc3c(nc21)CCCC3,89.0
169122,O=C(c1ccc(OCC2CC2)c2oc3ccccc3c12)[NH+]([O-])c1cccnc1,273.5
111105,COc1cccc2c1CCC1C(C)=C(O[Si](C)(C)C)CCC21C,79.0
68885,CC(Cc1ccc(OCC(=O)O)cc1)NS(=O)(=O)c1ccc(Cl)cc1,134.0
28920,CS(=O)COC(=O)c1oc(-c2ccccc2)cc(=O)c1Br,159.0
178499,Cc1ccccc1-c1cnc2c(C(F)(F)F)cccc2c1-c1cccc(NC(=O)Nc2ccccc2F)c1,219.0
46367,C=CCOc1ccc(OC(C(=O)C(C)(C)C)n2cncn2)cc1,66.0
77300,CCCCCCCCCCCCCCCCOc1ccc(OCC(=O)Nc2cccc(CBr)c2)cc1,184.5
30168,CCOC(=O)c1ccc(/C=C(\C)c2cc3c(cc2OC)C(C)(C)CCC3(C)C)cc1,97.5
27876,CCOC(=O)C1=C(C)NC(C(OC)OC)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],123.0
71504,N#CCC(=O)c1cccc(Oc2ccccc2)c1,95.5
95197,CCCSc1ncc(C[C@H](NC(=O)CCC)C(=O)O)n1Cc1ccccc1Cl,179.5
120233,CC(=O)[C@H]1OC(=O)N(c2cccc(CO)n2)C1CN,138.0
171303,FC(F)(F)c1cc(-c2ccc(Cl)c(Cl)c2)nc2c(-c3ccccn3)cnn12,188.0
65902,O=C1/C(=C/c2ccc(F)cc2)C2C=CC1CC2,85.5
173297,O=C(O)c1cc(CO[N+](=O)[O-])cc(CO[N+](=O)[O-])c1,40.0
122857,Cc1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(C)c(C)c2)c1,127.0
176631,O=C(O)c1nn(-c2ccc(Cl)cc2Cl)c2c1CCc1sc(Br)cc1-2,236.0
19655,C[C@H]1OC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O[C@@H]1C,82.5
198624,COc1ccc(C(O)(C2CC2)C2CC2)c2c1nc1n2CCCN1c1ccc(Cl)cc1Cl,219.5
165287,CC(=O)N1c2ccc(F)cc2CC1C(N)=O,233.5
21622,O=C(/C=C/c1cccc(Br)c1)NC1CC1,110.5
29447,CN(c1ccc(O)cc1)c1nc2cc(Cl)ccc2s1,239.0
124288,Clc1cc(Cl)cc(-c2n[nH]cc2I)c1,170.0
43405,Cn1c(-c2ccc(OCC3CO3)cc2)nnc1C(F)(F)F,105.0
107788,COc1ccc2c(c1)CCN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)C2,260.0
41276,Cc1ccc(C)c2c1CN(NC(=S)NC(=O)c1ccccc1)C2,163.5
165659,Cc1cc(OCc2nc(-c3ccc(C(F)(F)F)cc3)no2)ccc1OC(C)(C)C(=O)O,170.0
98185,O=C(CCC(F)(F)Cl)Nc1ccccn1,64.5
41611,CC(=O)Nc1ccc(S(=O)c2ccc(Cl)cc2)cc1,161.0
207704,Cc1cccc(C)c1-c1cccc2c1OC(CN)CO2,205.5
75307,CCNc1nc2ccc(CCc3cn4c(n3)CC(C)CC4)cc2o1,160.0
186842,COc1ccc(N2c3ccccc3S(=O)(=O)c3ccccc32)cc1,265.5
171000,O=C(O)c1cc(-c2ccc3occc3c2)nn(Cc2ccc(F)cc2)c1=O,208.5
52827,Cn1c(=O)ccc2cc(-c3cccnc3)ccc21,117.0
155359,N#Cc1ccccc1Oc1ccc(-c2cn(C3CCOC3)c3ncnc(N)c23)cc1,202.0
62856,CN1Cc2c(C#CC(C)(C)O)ncn2-c2ccccc2C1=O,168.5
95871,COc1ccc([C@H]2[C@@H](c3ccccc3)C2(Cl)Cl)cc1,59.5
44841,Nc1ccc(C(=S)OC2CCCCC2)c(Cl)c1,98.5
35697,COc1ccccc1N1CCN(CC(O)COc2cccc(C(=O)/C=C/N(C)C)c2)CC1,131.0
104306,CN1C(=O)CC[C@]2(C)c3ccc(CC(=O)Nc4ccccc4)cc3CC[C@@H]12,193.5
144527,CCOc1cc(C2=NN(Cc3ccc(N)cc3)C(=O)CC2)ccc1OC,120.0
138102,N#Cc1nn(-c2c(Cl)cc(OC(F)(F)F)cc2Cl)cc1/C(Cl)=C(/Cl)Br,143.60000000000002
106889,Cc1c(CCNC(=S)Nc2nccs2)cccc1C(F)(F)F,158.5
175370,C/C(=C1\SC(=O)NC1=O)c1ccc(OCCCOc2c(-c3ccc(F)cc3)n(C)c3ccccc3c2=O)cc1,263.0
69963,Nc1ccc(S(=O)(=O)CCO)cc1C(=O)O,165.5
198765,Cc1cn(C)c2cc(NC(=O)c3ccc(C(C)(C)O)cc3)ncc12,196.5
91940,COc1cc(OC)nc(Oc2cccc3c2C(=O)OC3C)n1,190.5
198368,c1ccc(CCC2=NOC3(CCNCC3)C2)cc1,107.5
111773,CCOC(=O)/C=C/c1ccc2oc(Cc3nc(-c4ccccc4)oc3C)cc2c1,150.5
213138,CCC/C(=C\C=O)c1ccc2c(c1)C(CC)(CC)OC(=O)N2,176.0
106381,OC(CCN1CCC(c2ccc(Cl)cc2)CC1)c1ccc(Cl)cc1,153.0
115395,CCCCCOc1cc2c(cc1C(=O)Oc1ccc(C(=O)O)cn1)C(C)(C)CCC2(C)C,132.5
8669,O=C(NCCCOCCCNC(=O)c1ccc(OC(F)(F)F)cc1)c1ccc(OC(F)(F)F)cc1,119.0
19452,CC(C)(NS(=O)(=O)c1ccccc1)c1ccccc1,114.5
26207,CCOC(=O)CCCCCCC1C(=O)NC(=O)N1CCC(=O)C1CCCCC1,78.0
188331,CC(=O)Nc1cc(Cn2c(C(=O)c3cc(C)cc(C)c3)c(C(C)C)c(=O)[nH]c2=O)ccn1,244.5
17198,CCOP(=O)(OCC)c1ccccc1,256.0
181088,O=C1N(Cc2ccc(C(F)(F)F)o2)c2ccc(F)cc2C12COc1cc3c(cc12)OCO3,140.0
151359,CSc1nc(SC)nc(-n2c(C)nc3ccccc32)n1,177.5
97981,CCCCOC(=O)c1c(C)nc2cc(OC)c(OC)cc2c1-c1ccc(OC)c(OC)c1,119.5
204604,Cc1ccc(Nc2nnc(-c3ccc(SC(F)(F)F)cc3)s2)cc1Cl,215.5
140449,CC(C)Nc1cccnc1N1CCN(C(=O)c2ccc(C(=O)NC(C)(C)C)cn2)CC1,161.5
172756,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@@]3(C=C(F)F)[C@@H]1CC[C@@H]2O,155.0
138110,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(Cl)c1C=C(Br)Br,119.3
168387,Fc1ccc(CC[C@H]2CNCCN2)cc1,113.0
24689,N=C(N)Nc1nc(CSCCN/C(N)=N/[N+](=O)[O-])ns1,185.0
41651,C1=CCC2=C(C1)CC1=C(CC=CC1)C2,146.5
161973,COc1c(C)c(C)c(OC)c(C(O)(c2ccc(N3CCOCC3)cc2)C(C)C)c1C,192.0
132322,O=c1nc(Nc2ccc(Br)cc2)sc2ncccc12,274.75
69334,CNc1coc2cc(NS(C)(=O)=O)c(Oc3ccccc3)cc2c1=O,192.75
119019,COc1ccc2c(c1)c(Cc1nc(-c3ccc4ccccc4c3)cs1)c(C)n2C(=O)c1ccc(Cl)cc1,132.0
7010,O=C(NC1CCN(CCCC(O)c2ccccc2)CC1)c1ccccc1,155.5
38767,COC(=O)c1ccc(Cl)cc1C(=O)c1ccccc1F,115.5
176188,Cc1c(NC(=O)CC(C)(C)C)cc2c(c1C)OC(C)(C)C2c1ccc(C=O)cc1,169.5
93961,O=C1c2c(Cl)ccc(Cl)c2C(=O)N1CCN1CCC(c2noc3cc(F)ccc23)CC1,163.5
210674,CCNc1cc(-c2c(-c3cccc(C)c3)nc3cccnn23)ccn1,152.0
180805,CC(=O)NC[C@H]1CN(c2ccc(N3CCC(O)(CN=[N+]=[N-])CC3)c(F)c2)C(=O)O1,147.5
73827,COc1nc(SCc2ccccc2)ncc1Br,48.5
51559,O=C(OCCn1cnc2c(Cl)nc3ccccc3c21)c1ccccc1,186.0
44973,CNC(=O)c1cnn(-c2ccc(Br)cc2)c1C#N,240.5
69008,COC(=O)C1CC(=O)N(Cc2ccccc2)C1,64.0
113313,O=c1ccn(CCO)c(C(O)c2ccccc2OCc2ccccc2)c1OCc1ccccc1,196.5
46620,CCSC(=O)Cc1csc(N)n1,76.5
84361,CO/C=C(\C(=O)OC)N(C)c1nc(-c2ccc(Cl)cc2)cs1,104.5
15704,CCSC(C)(C)C(=O)CC(=O)Nc1cc([N+](=O)[O-])ccc1OC,139.0
57828,CCCC/C(=C\C=C\C(=O)O)c1cccc(OC)c1,78.0
222146,CN1C/C(=C/C(=O)Nc2ccc(Cl)nn2)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,272.5
182159,N#CCOc1ccc2cc(-c3cnc(-c4cn(Cc5ccccc5)c5ccccc45)o3)ccc2c1,206.5
173992,CS(=O)(=O)Nc1cc(C=C2c3ccccc3CCc3ccccc32)ccc1O,122.6
40326,CC(C)COC(=O)/C(C#N)=C/NCCc1ccccc1,105.5
56927,O=C1c2c(Cl)cccc2-n2cnc(-c3nc(C4CCCC4)no3)c2[C@@H]2CCCN12,177.5
213950,CC(C)(C)[Si](ON1C(=O)c2ccccc2C1=O)(c1ccccc1)c1ccccc1,140.5
90579,N#CNC(=N)CCN1CCOC1=O,138.0
205780,O=C(CC1CCCC1)NC[C@H]1CN(c2ccc3c(c2)CCCc2cnn(C(=O)CC4CCCC4)c2-3)C(=O)O1,166.0
2792,CCNC(=O)Cc1ccc(C(=O)c2ccc(Cl)cc2)n1C,187.5
79425,OCCc1cc2c(cc1Cc1ccccc1)OCO2,64.5
179096,CC(c1ccc(OCC(=O)Nc2ccc(-c3ccc(Cl)cc3)cc2)cc1)N1CCCC1,157.0
49413,CC(C)n1cccc1C(N)=S,99.0
214228,c1coc(-c2nnc(Sc3cnccn3)o2)c1,92.5
171001,O=c1c(CO)cc(-c2ccc3occc3c2)nn1Cc1ccc(F)cc1,159.0
178935,CC(C)S(=O)(=O)c1ccc2c(c1)nc(CC(C)(C)C)n2CC1(O)CCOCC1,189.0
42213,CSCC(=O)Nc1ccc(C2=NNC(=O)CC2C)cc1,221.0
34805,COC(=O)c1sc2cc(CCl)ccc2c1C,128.5
126961,COc1cc2ncc(C#N)c(Nc3cc(C)ccc3O)c2cc1OC,199.0
18682,C=C(C)C(=O)OCc1c(Br)c(Br)c(Br)c(Br)c1COC(=O)C(=C)C,65.0
215217,Cc1cc(C2=NOC(c3cccc(C(F)(F)F)c3)(C(F)(F)F)C2)ccc1Br,84.5
101526,Cc1ccc(F)c([Si](C)(C)C)c1C(=O)N(C)C(C)(C)C,45.5
58092,FC(F)(F)c1cc(Cc2ccc(Cl)c(C(F)(F)F)c2)ccc1Cl,99.5
161130,N#CC1=C(c2ccccc2)Nc2n[nH]cc2C1c1cccc(Cl)c1Cl,162.0
152483,O=c1[nH]cc(Cc2ccncc2)c2ccccc12,189.5
69668,CN(CCOc1ccc(C(N)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,147.0
153402,CCC(C)N1CCC(CNc2ccc(Cl)cc2C(=O)Nc2ccc(C)cn2)CC1,127.0
119312,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(C=O)c1SC(F)(F)F,90.0
167215,COC(=O)C1=C(C)N(C)C(C)=C(C(=O)OC)C1c1ccccc1,152.0
33233,CNC(=O)Oc1c(C)ccc2c1CC(C)C2(C)C,110.0
104588,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1CC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)NCC(C)C,80.5
219428,N#Cc1ccc(-c2cnc3cnc(-c4ccc(O)cc4)nc3c2)cc1,313.5
171003,O=C(O)c1cc(-c2ccc3c(c2)CCO3)nn(CCCc2ccccc2Cl)c1=O,138.5
141544,CCOC(=O)C1(C)Oc2c(OC)cccc2C1=O,81.5
85173,CCCCc1nc2ccccc2c(=O)[nH]1,154.0
125693,O=C(/C=C/CC(Nc1cc(Cl)cc(Cl)c1I)C(=O)OCc1ccccc1)Nc1ccccc1,147.0
187299,Cn1c(=O)c(-c2ccc(Cl)cc2Cl)cc2c3cc(-c4ccno4)ccc3[nH]c21,321.5
36913,NNC(=O)CCCSc1nccc(N/C(N)=N/CC(F)(F)F)n1,193.5
144305,N#Cc1nn(Cc2ccccc2)c2ccccc12,91.0
127579,COC(=O)CNC(=O)NCCCCC1CCSS1,63.0
148812,Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1NC(=O)c1ccccc1O,137.5
96378,NC(=O)C(Nc1cccc2c1C(=O)CO2)c1c(Cl)cccc1Cl,245.4
71642,O=C1CCCN1S(=O)(=O)c1ccccc1C1CCNC1,236.0
116782,COc1cc(C(C)C)c2c(c1)S(=O)(=O)N(COc1cc(C(F)(F)F)nn1-c1ccc3ccccc3n1)C2=O,124.5
152266,CC(C)(N)c1ccc(-c2nc(Nc3cccc(CCO)c3)ncc2Cl)cc1,184.5
43878,CCOC1=NS(=O)(=O)N=C1c1ccccc1,205.0
202200,COc1ccc(CN2C(=O)C(C)(c3cc(N(C)C(=O)C4CCCN4C(C)=O)ccc3Cl)c3cc(Cl)ccc32)c(OC)c1,74.0
145203,COC(=O)c1ccc2c(=O)n(Cc3ccc(OC)cc3)c(=O)[nH]c2c1,255.0
151696,CCN(CC)CCNC(=O)c1cc(Cl)c(NS(=O)(=O)c2ccc3ccccc3c2)cc1OC,148.5
166511,Cc1ccc(C(=O)O)cc1Nc1nccc(-c2cccnc2)n1,277.5
191691,Cc1nc(N2CCN(Cc3cccc4cccnc34)C2=O)sc1C(=O)NCc1cccnc1,226.5
45450,CC(Oc1ccc(Oc2nc3ccc(Cl)cc3s2)cc1)C(=S)OC[Si](C)(C)C,90.0
56536,CNc1cc(F)ccc1C(=O)CS(=O)(=O)NC,141.0
206173,COc1ccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)cc1NC(=O)c1ccccc1,202.0
206737,CC(C)c1nn(-c2ccc(C(F)(F)F)cn2)cc1COc1cc(C=O)n(C)n1,112.5
92804,N#Cc1c(F)cc(OCCOc2ccc3ccccc3c2)cc1F,148.5
29923,CCC1C(C)=NN=C(c2ccc(OC)cc2)c2cc(OC)c(OC)cc21,158.0
88553,NC(=O)c1cccc(-n2c(=O)n(Cc3cccnc3)c(=O)c3cccnc32)c1,219.5
57432,COc1cc2cc(CO)nc(-c3cccc(Cl)c3)c2cc1OC,119.0
58472,CC1=C(C2C=CN(C(=O)OCC(Cl)(Cl)Cl)c3ccccc32)SCC(=O)N1,166.5
67887,CC(=O)N(C)[C@@H](CCl)C(=O)O,104.0
190462,CN1CCN(c2sc(-c3nc4ccccc4c(=O)n3-c3ccc(Cl)cc3)cc2-c2ccc(S(C)(=O)=O)cc2)CC1,232.5
52531,CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C)C(=O)CC[C@@H]12,181.0
38907,CCOCCc1c(-c2ccc(Cl)cc2)nc(N)n2ncnc12,184.0
79859,CCOC(=O)CNC(=O)c1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,251.5
159717,O=C(Nc1ccc2cc(CN3CCCC3)ccc2c1)c1ccc(-c2ccc(Cl)cc2)cc1,215.5
69651,CN(C)CCc1ccc(O)c2[nH]nnc12,209.0
219745,Cn1cc2c(nc(NC(=O)Nc3ccc(CC(=O)NCCCNC(=O)OC(C)(C)C)cc3)n3nc(-c4ccco4)nc23)n1,201.5
144008,CCOC(=O)/C(C)=N/Nc1ccc(C)cc1C,146.0
10723,CCOc1cc(N(CC)CC)ccc1C1(c2ccc(N(C)C)cc2N(C)C)OC(=O)c2ccccc21,148.0
61505,CC1Sc2c(C(=O)O)c(=O)c3cc(F)c(N4CCNC(=O)C4)cc3n21,199.0
77922,CCCC(=O)/C(=C\Nc1ccccc1COC(=O)c1ccccc1)C(=O)OCC,80.0
217831,COc1cc([C@@H](NC(=O)OC(C)(C)C)[C@H](c2ccccc2)[N+](=O)[O-])ccc1Br,158.0
82317,CCCn1c(=O)cc(S(=O)(=O)CCC)n(Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)c1=O,131.5
104694,COC(=O)CCCc1ccc(CN2CCN(c3ccncc3)CC2)cc1,126.5
50467,COc1ccccc1N1CCN(CCn2c(=O)[nH]c3scc(C)c3c2=O)CC1,211.0
59978,Fc1ccc(C(CN2CCCC2)=C2SCCCS2)cc1,69.5
163806,Cc1ccc(-c2[nH]nc(COCCCO)c2-c2ccc(S(N)(=O)=O)cc2)cc1,85.5
99403,CO/N=C(/c1ccccc1OCc1ccc(Cl)cc1)n1ccnc1,93.0
142415,O=C(Cc1ccncn1)c1ccc(Cl)cc1,110.45
208604,COc1ccc(N2C(=O)C(OC(C)=O)C2c2ccccc2Cl)cc1,131.0
125780,CNC(=S)N/N=C(\CCCOC(=O)Nc1ccccc1)c1ccccc1,156.0
172797,Cc1ccc(S(N)(=O)=O)c(C(C)(C)CO)c1[N+](=O)[O-],109.0
115066,CC(=O)NC(C/C=C/c1ccccc1)(COC(C)=O)COC(C)=O,89.0
102888,Cn1nc(N)c2c(=O)n3c(nc21)SCC3,281.5
183976,Brc1ccc(-c2cnc(-c3ccccc3)nc2)cc1,194.0
137371,CC(C)C(C)NC1=NS(=O)(=O)c2cc(Cl)c(Cl)cc2N1,246.0
184592,COC(=O)c1ccc(S(=O)(=O)N2CC[C@H](OS(C)(=O)=O)C2)n1C,80.0
195431,COC(=O)CC[C@@H](C(N)=O)N1Cc2c(OCc3ccc(CN4CCOCC4)cc3)cccc2C1=O,67.0
128650,Cc1ccc(C2c3[nH]c4ccccc4c3CCN2C(=O)/C=C/c2cc([N+](=O)[O-])ccc2Cl)cc1,212.0
58396,N#CCN1C(=O)COc2cc(F)c([N+](=O)[O-])cc21,198.0
165179,COc1ccc(N2CCOCC2)c2sc(C(=O)NC3CCCCC3=O)nc12,165.0
12190,CCc1ccccc1N1CCC(N2C(=O)c3ccc(Cl)cc3C2=O)CC1,232.5
194484,CNCC1OCc2ccc(S(C)(=O)=O)cc2O1,225.0
178948,CCS(=O)(=O)Nc1n[nH]c2nc(Oc3ccc(F)cc3F)ncc12,226.45
121112,CC(=O)Oc1cc2c(cc1C=O)[C@H]1CC[C@]3(C)[C@@H](O)CC[C@H]3[C@@H]1CC2,74.0
23057,CCOC(=O)[C@H](CCSC)NC(=O)[C@H](CC1(NCCCl)C=CC=C(NCCCl)C1)NC(=O)[C@H](Cc1ccc(F)cc1)NC=O,181.0
55706,COc1cc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2CCC(F)(F)F)n1,174.5
173731,O=S(=O)(c1ccc(Cl)cc1)C(CCSCCO)c1cc(F)ccc1F,109.0
107571,COC(=O)c1ccc(NC(C)=O)c(CC(=O)O)c1,194.0
131263,CCN(c1nc(C)cc(C)n1)c1c(C#N)csc1C,112.5
30364,COc1cnc(Cl)c(C(=O)O)c1,169.5
144386,CC1(C)C(=O)Nc2ccc(-c3cc(F)cc(Cl)c3)cc21,206.35
173719,O=S(=O)(c1ccc(Cl)cc1)C(Cc1ccncc1)c1cc(F)ccc1F,129.0
222701,O=C1CCc2c1sc1c2CCCC1,75.5
193617,Cc1ccc(C)c(NC(=O)N2CCC(C#N)CC2)c1,188.5
56483,CS(=O)(=O)n1cc(-c2ccccc2)c(=O)n1-c1ccccn1,113.0
